"Scenario","Variable","Region","Sector","Units","2025","2026","2027","2028","2029","2030"
"S01","INFL","PAK","NA","Percentage Point Deviation",0.0113777634494383,-0.0059435070589586,-0.0069293949540139,0.0043064475271137,0.0008485145698955,-0.0003997620881435
"S01","INFL","BGD","NA","Percentage Point Deviation",0.0048665223093991,-0.0014465136754183,-0.0066427852852158,0.0036845304835609,0.0011561671600546,-0.0003617559794833
"S01","INFL","LKA","NA","Percentage Point Deviation",0.0172907949369971,-0.0069221799549268,-0.0070431274231453,0.007922512297398,0.0001288265110588,-0.0022543684409015
"S01","INFL","ROA","NA","Percentage Point Deviation",0.0215357920783532,0.0010925833684894,-0.0234631591553125,0.004596761458231,-0.0001021478837515,-0.0024555077732913
"S01","INFL","LAM","NA","Percentage Point Deviation",-0.0012985228893925,0.0028195362784089,-0.0050143096183675,0.0031860420694585,0.0009624340176373,-8.56603060484e-05
"S01","INFL","AFR","NA","Percentage Point Deviation",0.0069738870285718,-0.0059347171680102,-0.0059764408321783,0.0055810935458922,0.001463914135158,-0.0005314773986242
"S01","INFL","MEN","NA","Percentage Point Deviation",-0.0104659315326217,0.0055773400319481,-0.0004249752798557,0.0071572747216919,0.0018321944665445,-0.0001387166868483
"S01","INFL","ROW","NA","Percentage Point Deviation",-0.000171447270958,0.0103728576618778,-0.0137862540519507,0.0051958349779113,0.0010743068557417,-0.0005668052700969
"S02","GDPR","USA","NA","Percentage GDP Deviation",0.0020087985894194,-0.0480227133716715,0.0013931662632659,0.0048214539240196,0.0016581583892706,0.0007388715616942
"S02","GDPR","JPN","NA","Percentage GDP Deviation",0.0038037493464481,-0.245066563107492,-0.01378435149233,0.0150123776411755,0.0143183595954474,0.0132659154887123
"S02","GDPR","EUW","NA","Percentage GDP Deviation",0.0033344451664292,-0.235239173064041,-0.0208376706840833,0.0124786316097321,0.0127508691674747,0.0115343042084374
"S02","GDPR","AUS","NA","Percentage GDP Deviation",-0.0012674570246728,-0.0552988494064101,0.0052148054081745,0.0133872949428049,0.0063085562551414,0.0021590998692746
"S02","GDPR","KOR","NA","Percentage GDP Deviation",0.0147492358969336,-0.470253603508037,-0.0448522543847984,0.0194442774295188,0.0268826085139367,0.0299115565186642
"S02","GDPR","ADV","NA","Percentage GDP Deviation",0.0004106161864325,-0.0578862388121116,-0.0003971174709531,0.0090993014510278,0.0048041604626184,0.0024706449026958
"S02","GDPR","CHN","NA","Percentage GDP Deviation",0.0068755396251471,-0.154187275302623,0.001373923714453,0.0175331755726085,0.0112642818656019,0.007312084371756
"S02","GDPR","IND","NA","Percentage GDP Deviation",0.0183189782377597,-0.391580072219984,-0.0376484432668054,0.0300301153971886,0.031246999240854,0.0237241330142686
"S02","GDPR","IDN","NA","Percentage GDP Deviation",0.0078400839182869,-0.0490894120041897,0.0083355096462942,0.0038948340736451,0.0004579286178978,-0.0004441336502937
"S02","GDPR","PHL","NA","Percentage GDP Deviation",0.0101110439795954,-0.123479756994115,-0.0015561497895999,-0.0011132102319216,-0.0021424989107338,-0.0012299900909724
"S02","GDPR","VNM","NA","Percentage GDP Deviation",0.0131228613482543,-0.191064156898845,-0.008453584406933,0.021757601696671,0.0183777670033556,0.0142092668727092
"S02","GDPR","THA","NA","Percentage GDP Deviation",0.0131384388588474,-0.362193113821593,-0.0327932079476811,0.0023942266620864,0.0047246956522429,0.0074578190505039
