"Scenario","name","2026"
"S01","SHY(a01,ADV)",-1.27902848372354e-06
"S01","SHY(a02,ADV)",-2.31751950494594e-05
"S01","SHY(a03,ADV)",-0.139052304867626
"S01","SHY(a04,ADV)",-4.34072084051162e-07
"S01","SHY(a05,ADV)",-5.17065291721464e-05
"S01","SHY(a06,ADV)",-1.91379448660814e-06
"S01","SHY(a07,ADV)",-1.76539579996831e-07
"S01","SHY(a08,ADV)",-7.42126714706251e-09
"S01","SHY(a09,ADV)",-2.4507284494169e-06
"S01","SHY(a10,ADV)",-2.61363693707143e-06
"S01","SHY(a11,ADV)",-1.56837062371166e-06
"S01","SHY(a12,ADV)",-3.24627321327391e-06
"S01","SHY(a01,AFR)",-0.000815618754156622
"S01","SHY(a02,AFR)",-2.13352470722718e-05
"S01","SHY(a03,AFR)",-0.628487904369186
"S01","SHY(a04,AFR)",-2.1642810972008e-06
"S01","SHY(a05,AFR)",-6.0445922293093e-06
"S01","SHY(a06,AFR)",-7.44198389495432e-07
"S01","SHY(a07,AFR)",-2.87468743807736e-06
"S01","SHY(a08,AFR)",-1.4293048949967e-06
"S01","SHY(a09,AFR)",-4.38285179682523e-07
"S01","SHY(a10,AFR)",-1.04946428377802e-05
"S01","SHY(a11,AFR)",-1.28558911888049e-05
"S01","SHY(a12,AFR)",-1.42419166923936e-06
"S01","SHY(a01,AUS)",-1.55550108357824e-05
"S01","SHY(a02,AUS)",-4.28034409755546e-07
"S01","SHY(a03,AUS)",-0.428545413662443
"S01","SHY(a04,AUS)",-3.72832660856617e-08
"S01","SHY(a05,AUS)",-1.73635940751239e-05
"S01","SHY(a06,AUS)",-1.23859712874628e-08
"S01","SHY(a07,AUS)",-2.62390667358378e-08
"S01","SHY(a08,AUS)",-1.48012367662611e-08
"S01","SHY(a09,AUS)",-1.49938045525897e-08
"S01","SHY(a10,AUS)",-6.29760887885886e-08
"S01","SHY(a11,AUS)",-5.41891847636179e-09
"S01","SHY(a12,AUS)",-2.70804137025664e-06
"S01","SHY(a01,BGD)",-1.95050147912348e-06
"S01","SHY(a02,BGD)",-4.64434686016097e-06
"S01","SHY(a03,BGD)",-1.90648403021886
"S01","SHY(a04,BGD)",-2.9676509073874e-05
"S01","SHY(a05,BGD)",-0.00108567461195263
"S01","SHY(a06,BGD)",-9.63114503915228e-08
"S01","SHY(a07,BGD)",-3.498042714587e-05
"S01","SHY(a08,BGD)",-8.4548586703007e-08
"S01","SHY(a09,BGD)",-3.89889848623833e-07
"S01","SHY(a10,BGD)",-1.81583799028719e-06
"S01","SHY(a11,BGD)",-2.37637612780459e-06
"S01","SHY(a12,BGD)",-3.44363046484348e-08
"S01","SHY(a01,CHN)",-1.78219636631295e-05
"S01","SHY(a02,CHN)",-0.00541966562931521
"S01","SHY(a03,CHN)",-0.858819932909429
"S01","SHY(a04,CHN)",-2.60385252963281e-06
"S01","SHY(a05,CHN)",-0.0252159860647568
"S01","SHY(a06,CHN)",-8.22142013696458e-08
"S01","SHY(a07,CHN)",-3.58864264508619e-07
"S01","SHY(a08,CHN)",-2.99771791947804e-08
"S01","SHY(a09,CHN)",-4.25848491403712e-06
"S01","SHY(a10,CHN)",-9.6545513653827e-05
"S01","SHY(a11,CHN)",-2.88303953566709e-07
"S01","SHY(a12,CHN)",-2.81132451712398e-06
"S01","SHY(a01,EUW)",-3.64965842730478e-05
"S01","SHY(a02,EUW)",-0.000247861290037002
"S01","SHY(a03,EUW)",-1.33000518645723
"S01","SHY(a04,EUW)",-0.000113455453528806
"S01","SHY(a05,EUW)",-2.3587117517781e-05
"S01","SHY(a06,EUW)",-1.60328437476901e-06
"S01","SHY(a07,EUW)",-3.54556308518522e-06
"S01","SHY(a08,EUW)",-4.58541008940872e-07
"S01","SHY(a09,EUW)",-8.59887774643165e-07
"S01","SHY(a10,EUW)",-7.78816975240725e-06
"S01","SHY(a11,EUW)",-9.66007351850992e-07
"S01","SHY(a12,EUW)",-3.69216998469064e-07
"S01","SHY(a01,IDN)",-8.91125683359505e-07
"S01","SHY(a02,IDN)",-0.000288058997832085
"S01","SHY(a03,IDN)",-0.470762478438279
"S01","SHY(a04,IDN)",-1.28149270550203e-06
"S01","SHY(a05,IDN)",-0.000264799576172075
"S01","SHY(a06,IDN)",-1.59014125191645e-07
"S01","SHY(a07,IDN)",-7.70860405593406e-07
"S01","SHY(a08,IDN)",-3.52293623366868e-08
"S01","SHY(a09,IDN)",-1.70582337383688e-07
"S01","SHY(a10,IDN)",-0.000818063523885642
"S01","SHY(a11,IDN)",-5.39829020726468e-07
"S01","SHY(a12,IDN)",-2.57950630758374e-07
"S01","SHY(a01,IND)",-2.80246280487957e-06
"S01","SHY(a02,IND)",-0.00845012664517957
"S01","SHY(a03,IND)",-1.45613690813576
"S01","SHY(a04,IND)",-3.05269278971968e-06
"S01","SHY(a05,IND)",-2.89740148917659e-06
"S01","SHY(a06,IND)",-4.58752340208608e-08
"S01","SHY(a07,IND)",-5.46242576604063e-07
"S01","SHY(a08,IND)",-3.17804326418041e-08
"S01","SHY(a09,IND)",-3.72205292944829e-07
"S01","SHY(a10,IND)",-0.000255716764086124
"S01","SHY(a11,IND)",-1.04302708611925e-07
"S01","SHY(a12,IND)",-2.44287716927912e-06
"S01","SHY(a01,JPN)",-0.00175348601585274
"S01","SHY(a02,JPN)",-0.0282930242388702
"S01","SHY(a03,JPN)",-1.19410732169176
"S01","SHY(a04,JPN)",-1.95246867200211e-05
"S01","SHY(a05,JPN)",-0.000419489074561229
"S01","SHY(a06,JPN)",-3.61412831971448e-08
"S01","SHY(a07,JPN)",-9.91157199699971e-07
"S01","SHY(a08,JPN)",-3.31335263147053e-07
"S01","SHY(a09,JPN)",-5.72368343534875e-06
"S01","SHY(a10,JPN)",-1.67578439061626e-05
"S01","SHY(a11,JPN)",-4.02303935991225e-07
"S01","SHY(a12,JPN)",-8.86526529996522e-08
"S01","SHY(a01,KOR)",-1.8146507524143e-06
"S01","SHY(a02,KOR)",-0.000408595734968695
"S01","SHY(a03,KOR)",-1.3485462783683
"S01","SHY(a04,KOR)",-1.81928517012809e-05
"S01","SHY(a05,KOR)",-3.62328873363775e-06
"S01","SHY(a06,KOR)",-3.84593955686777e-08
"S01","SHY(a07,KOR)",-4.52176489565571e-07
"S01","SHY(a08,KOR)",-3.17210439709306e-08
"S01","SHY(a09,KOR)",-7.50575960714474e-08
"S01","SHY(a10,KOR)",-8.78419554330238e-05
"S01","SHY(a11,KOR)",-1.48525990821246e-07
"S01","SHY(a12,KOR)",-1.86823495997469e-08
"S01","SHY(a01,LAM)",-0.00231298134967765
"S01","SHY(a02,LAM)",-0.000293277156572614
"S01","SHY(a03,LAM)",-0.143096970043343
"S01","SHY(a04,LAM)",-2.91072329908596e-05
"S01","SHY(a05,LAM)",-1.54563271096678e-05
"S01","SHY(a06,LAM)",-2.85774021513075e-06
"S01","SHY(a07,LAM)",-0.000117519912047596
"S01","SHY(a08,LAM)",-9.36546192202854e-07
"S01","SHY(a09,LAM)",-5.29980793762414e-05
"S01","SHY(a10,LAM)",-3.49713285419519e-05
"S01","SHY(a11,LAM)",-5.28802835821411e-06
"S01","SHY(a12,LAM)",-4.32673768723685e-06
"S01","SHY(a01,LKA)",-1.10808568402609e-06
"S01","SHY(a02,LKA)",-0.00147243852817989
"S01","SHY(a03,LKA)",-1.72828717927007
"S01","SHY(a04,LKA)",-5.43849854678268e-05
"S01","SHY(a05,LKA)",-2.4321284841427e-05
"S01","SHY(a06,LKA)",-1.40764344857002e-06
"S01","SHY(a07,LKA)",-1.04972813100038e-06
"S01","SHY(a08,LKA)",-1.13544094277665e-07
"S01","SHY(a09,LKA)",-1.89527275428251e-05
"S01","SHY(a10,LKA)",-1.22276787194183e-06
"S01","SHY(a11,LKA)",-1.64951713112126e-07
"S01","SHY(a12,LKA)",-8.89253281724859e-07
"S01","SHY(a01,MEN)",-0.00301780613182984
"S01","SHY(a02,MEN)",-2.51232387792096e-05
"S01","SHY(a03,MEN)",-0.088896872323022
"S01","SHY(a04,MEN)",-4.8584723917056e-05
"S01","SHY(a05,MEN)",-5.30431194256722e-06
"S01","SHY(a06,MEN)",-1.65819223708545e-06
"S01","SHY(a07,MEN)",-1.84294689906953e-06
"S01","SHY(a08,MEN)",-4.01140033891946e-07
"S01","SHY(a09,MEN)",-7.34356897256979e-06
"S01","SHY(a10,MEN)",-2.42567707299531e-05
"S01","SHY(a11,MEN)",-2.42307402155786e-05
"S01","SHY(a12,MEN)",-5.12717518660943e-06
"S01","SHY(a01,MYS)",-5.13367645393757e-07
"S01","SHY(a02,MYS)",-1.1155963579376e-05
"S01","SHY(a03,MYS)",-0.625615076506981
"S01","SHY(a04,MYS)",-0.000124447544151435
"S01","SHY(a05,MYS)",-0.000241691334808667
"S01","SHY(a06,MYS)",-1.04951528883825e-05
